beat_id,section,start,end,spoken_text,gfx_ids,primary_mode,source_ids,claim_ids,needs_source_doc,needs_photo,needs_archive_web,needs_map,needs_editor_graphic,reconstruction_rule,preferred_visual,gap_id,stage13_status
B090,S11,773.220,777.680,And it was not a fifty-five-point-seven-million-dollar payment made only by eBay.,GFX-008,MIXED,S014;S017;S018,C028,YES,NO,NO,NO,YES,NO,Use GFX-008 as the primary explanatory layer; support with authentic record crop where useful.,GAP-010,PLANNED_NOT_ACQUIRED
B091,S11,778.640,784.000,"According to the announced terms, forty-eight-point-seven million dollars was compensation to the Steiners.",GFX-008,MIXED,S014;S017;S018,C028,YES,NO,NO,NO,YES,NO,Use GFX-008 as the primary explanatory layer; support with authentic record crop where useful.,GAP-010,PLANNED_NOT_ACQUIRED
B092,S11,784.680,787.640,Another seven million dollars consisted of charitable commitments.,GFX-008,MIXED,S014;S017;S018,C028,YES,NO,NO,NO,YES,NO,Use GFX-008 as the primary explanatory layer; support with authentic record crop where useful.,GAP-010,PLANNED_NOT_ACQUIRED
B093,S11,788.540,794.660,"Of the direct compensation, eBay's announced share was forty-six-point-one-five million dollars.",GFX-009,MIXED,S014;S017;S018,C029,YES,NO,NO,NO,YES,NO,Use GFX-009 as the primary explanatory layer; support with authentic record crop where useful.,GAP-010,PLANNED_NOT_ACQUIRED
B094,S11,794.660,796.180,Devin Wenig's was two million.,GFX-009,MIXED,S014;S017;S018,C029,YES,NO,NO,NO,YES,NO,Use GFX-009 as the primary explanatory layer; support with authentic record crop where useful.,GAP-010,PLANNED_NOT_ACQUIRED
B095,S11,797.040,801.260,Wendy Jones's was five hundred thousand. Steve Wymer's was fifty thousand.,GFX-009,MIXED,S014;S017;S018,C029,YES,NO,NO,NO,YES,NO,Use GFX-009 as the primary explanatory layer; support with authentic record crop where useful.,GAP-010,PLANNED_NOT_ACQUIRED
B096,S11,801.740,812.020,"Separately, eBay committed six million dollars to nonprofit organizations, and Wenig committed one million dollars to a First Amendment-focused charity in Ina Steiner's name.",GFX-010,MIXED,S014;S017;S018,C029,YES,NO,NO,NO,YES,NO,Use GFX-010 as the primary explanatory layer; support with authentic record crop where useful.,GAP-010,PLANNED_NOT_ACQUIRED
B097,S11,812.780,815.940,That is how the total reached fifty-five-point-seven million.,GFX-008,MIXED,S014;S017;S018,C028;C029,YES,NO,NO,NO,YES,NO,Use GFX-008 as the primary explanatory layer; support with authentic record crop where useful.,GAP-010,PLANNED_NOT_ACQUIRED
B098,S11,816.540,825.700,And that number should not be combined with eBay's separate three-million-dollar criminal penalty and presented as a fifty-eight-point-seven-million-dollar award.,GFX-011,MIXED,S001;S002;S014;S017,C019;C028,YES,NO,NO,NO,YES,NO,Use GFX-011 as the primary explanatory layer; support with authentic record crop where useful.,GAP-010,PLANNED_NOT_ACQUIRED
B099,S11,826.300,827.520,There was no such award.,GFX-011,EDITOR_GRAPHIC,S001;S002;S014;S017,C019;C028,NO,NO,NO,NO,YES,NO,Use GFX-011 as the primary explanatory layer; support with archive/context where useful.,GAP-010,PLANNED_NOT_ACQUIRED
B100,S11,828.320,838.040,These were separate legal resolutions with different purposes. One was a federal criminal resolution involving the company. The other was the final civil settlement package.,GFX-011,MIXED,S001;S002;S014;S017,C019;C028,YES,NO,NO,NO,YES,NO,Use GFX-011 as the primary explanatory layer; support with authentic record crop where useful.,GAP-010,PLANNED_NOT_ACQUIRED
B101,S11,838.820,843.700,The cost did not arrive in one courtroom on one day. It accumulated over years.,GFX-015,MIXED,S001;S014;S017,C019;C028,YES,NO,NO,NO,YES,NO,Use GFX-015 as the primary explanatory layer; support with authentic record crop where useful.,GAP-010,PLANNED_NOT_ACQUIRED
B102,S12,844.600,854.500,"In its July twenty twenty-six statement, eBay apologized to Ina and David Steiner. The company called the conduct of the former employees wrong and reprehensible.",GFX-003,MIXED,S013,C030,YES,YES,YES,NO,YES,NO,Use GFX-003 as the primary explanatory layer; support with authentic record crop where useful.,GAP-011,PLANNED_NOT_ACQUIRED
B103,S12,855.180,861.280,"It also acknowledged what it described as unprofessional communications involving Wenig, Wymer and Jones.",GFX-003,MIXED,S013,C030,YES,YES,YES,NO,YES,NO,Use GFX-003 as the primary explanatory layer; support with authentic record crop where useful.,GAP-011,PLANNED_NOT_ACQUIRED
B104,S12,862.240,869.060,But the settlement meant there would be no jury verdict deciding the surviving civil-liability questions against those former executives.,GFX-012,MIXED,S009;S014,C021;C028,YES,NO,NO,NO,YES,NO,Use GFX-012 as the primary explanatory layer; support with authentic record crop where useful.,,PLANNED_NOT_ACQUIRED
B105,S12,870.120,880.540,So the ending is not that a court answered every question. It did not. What the public record does show is enough. A small publication criticized a global marketplace.,GFX-012;GFX-015,MIXED,S009;S014,C021;C028,YES,NO,NO,NO,YES,NO,Use GFX-012+GFX-015 as the primary explanatory layer; support with authentic record crop where useful.,,PLANNED_NOT_ACQUIRED
B106,S12,881.420,888.700,"Inside eBay, that criticism generated escalating internal hostility. The issue moved into corporate security.",,ARCHIVE_PHOTO,S009;S013,C003;C030,NO,YES,NO,NO,NO,NO,Rights-safe archival/person/company/location photo with restrained editorial motion.,,PLANNED_NOT_ACQUIRED
B107,S12,889.200,897.020,"Security personnel planned and carried out harassment and surveillance. When police began investigating, the problem expanded into obstruction.",,ILLUSTRATIVE_RECONSTRUCTION,S001;S002;S009,C010;C012;C014,NO,NO,NO,NO,NO,YES_LABELLED_RECONSTRUCTION_GENERIC_NO_IDENTIFIABLE_ACTOR_CLAIMS,Clearly labeled illustrative reconstruction; never present as authentic evidence.,GAP-007,PLANNED_NOT_ACQUIRED
B108,S12,897.900,900.400,Seven prosecuted participants pleaded guilty.,GFX-005,MIXED,S004,C016,YES,NO,NO,NO,YES,NO,Use GFX-005 as the primary explanatory layer; support with authentic record crop where useful.,GAP-008,PLANNED_NOT_ACQUIRED
B109,S12,901.260,911.140,"eBay itself later entered a federal deferred prosecution agreement, admitted detailed facts, paid a three-million-dollar criminal penalty, and accepted an independent monitor.",GFX-006,MIXED,S001;S002;S012,C019,YES,NO,NO,NO,YES,NO,Use GFX-006 as the primary explanatory layer; support with authentic record crop where useful.,,PLANNED_NOT_ACQUIRED
B110,S12,911.840,921.080,Years of civil litigation then pushed unresolved questions about responsibility higher into the organization. The first twenty twenty-six settlement failed.,GFX-013,MIXED,S015;S016;S014,C026;C027;C028,YES,NO,NO,NO,YES,NO,Use GFX-013 as the primary explanatory layer; support with authentic record crop where useful.,GAP-010,PLANNED_NOT_ACQUIRED
B111,S12,921.900,926.520,The second ended the case with a fifty-five-point-seven-million-dollar settlement package.,GFX-008,MIXED,S014;S017;S018,C028,YES,NO,NO,NO,YES,NO,Use GFX-008 as the primary explanatory layer; support with authentic record crop where useful.,GAP-010,PLANNED_NOT_ACQUIRED
B112,S12,927.320,937.400,"There were personal costs: guilty pleas and prison sentences. There were corporate legal costs: federal charges, a D-P-A, a penalty, and monitoring.",GFX-005;GFX-015,MIXED,S004;S005;S001;S002,C016;C017;C019,YES,NO,NO,NO,YES,NO,Use GFX-005+GFX-015 as the primary explanatory layer; support with authentic record crop where useful.,GAP-008,PLANNED_NOT_ACQUIRED
B113,S12,938.280,942.180,And there were civil financial costs measured i n tens of millions of dollars.,GFX-008;GFX-015,MIXED,S014;S017;S018,C028,YES,NO,NO,NO,YES,NO,Use GFX-008+GFX-015 as the primary explanatory layer; support with authentic record crop where useful.,GAP-010,PLANNED_NOT_ACQUIRED
B114,S12,942.720,951.340,All of that grew out of a problem every major company eventually faces: criticism. The expensive decision was not that the criticism existed.,GFX-015,MIXED,S009;S013,C003;C030,NO,YES,NO,NO,YES,NO,Use GFX-015 as the primary explanatory layer; support with archive/context where useful.,,PLANNED_NOT_ACQUIRED
B115,S12,952.080,956.920,It was what people inside the company decided to do about it. And that is what it cost.,GFX-015,MIXED,S009;S013,C003;C030,NO,YES,NO,NO,YES,NO,Use GFX-015 as the primary explanatory layer; support with archive/context where useful.,,PLANNED_NOT_ACQUIRED
