beat_id,section,start,spoken_end,visual_end,duration_sec,route,canonical_asset,source,origin,gfx_id,motion,transition
B097,S11,812.78,815.94,816.54,3.76,GENERATED_R7,B097.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_193530_c4b0d8b6-413d-476b-a779-894c3dd878fb.png,R7_FINAL61,,STATIC,HARD_CUT
B098,S11,816.54,825.7,826.3,9.76,GENERATED_R7,B098.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_193529_b1b892fd-7299-45e0-924c-2e355a2054bb.png,R7_FINAL61,,PUSH_1PCT,HARD_CUT
B099,S11,826.3,827.52,828.32,2.02,GENERATED_R7,B099.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_193529_04bfb9b8-9c97-45be-9a73-f6f170cb4253.png,R7_FINAL61,,STATIC,HARD_CUT
B100,S11,828.32,838.04,838.82,10.5,FINAL_GFX,GFX-11_two_separate_legal_tracks.png,GFX_ARCHIVE,G14-011,G14-011,STATIC,HARD_CUT
B101,S11,838.82,843.7,844.6,5.78,GENERATED_R7,B101.png,https://d2ol7oe51mr4n9.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/20f94d5e-d9a5-4af0-989d-7d2ec28e1244.jpg,B101_FINAL_OVERRIDE,,PUSH_1PCT,HARD_CUT
B102,S12,844.6,854.5,855.18,10.58,GENERATED_R7,B102.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_193532_49ea8ad2-28f3-4c7a-8ff9-52f3a23e141d.png,R7_FINAL61,,STATIC,HARD_CUT
B103,S12,855.18,861.28,862.24,7.06,GENERATED_R7,B103.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_193536_b1c45bd4-535f-45c1-8c80-1a0e3e13415b.png,R7_FINAL61,,PUSH_1PCT,HARD_CUT
B104,S12,862.24,869.06,870.12,7.88,EDITOR_BUILD,B104_EDITOR.png,DC010_SUMMARY_JUDGMENT_ORDER.png;LIVE_MOAKLEY_COURTHOUSE_CC0.jpg,DETERMINISTIC_SOURCE_EDITOR,,PUSH_1PCT,HARD_CUT
B105,S12,870.12,880.54,881.42,11.3,GENERATED_R7,B105.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_192426_b1279c1a-20d5-4057-84e3-55c5d6460f9c.png,R7_FINAL61,,STATIC,HARD_CUT
B106,S12,881.42,888.7,889.2,7.78,GENERATED_R7,B106.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_192425_bdcb4a4f-40dd-4a28-8b67-b2a52824020a.png,R7_FINAL61,,PUSH_1PCT,HARD_CUT
B107,S12,889.2,897.02,897.9,8.7,GENERATED_R7,B107.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_192425_61ba5c3d-5c66-4413-b315-7ce819fa8c5d.png,R7_FINAL61,,PUSH_1PCT,HARD_CUT
B108,S12,897.9,900.4,901.26,3.36,GENERATED_R7,B108.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_192429_eb44496e-64f0-459c-a51c-068f30ad1c7b.png,R7_FINAL61,,STATIC,HARD_CUT
B109,S12,901.26,911.14,911.84,10.58,GENERATED_R7,B109.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_192430_a8c16017-1a82-4912-8b1e-f8bc350aebea.png,R7_FINAL61,,PUSH_1PCT,HARD_CUT
B110,S12,911.84,921.08,921.9,10.06,GENERATED_R7,B110.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_192429_f7a7fd05-72cc-4993-b440-3b2ac9c46b24.png,R7_FINAL61,,PUSH_1PCT,HARD_CUT
B111,S12,921.9,926.52,927.32,5.42,EDITOR_BUILD,B111_EDITOR.png,EBAY_HQ_2018_CC_BY_SA.jpg;S020_D986_STIPULATION_DISMISSAL.pdf,DETERMINISTIC_SOURCE_EDITOR,,STATIC,HARD_CUT
B112,S12,927.32,937.4,938.28,10.96,GENERATED_R7,B112.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_192432_09899405-9595-4aba-8d98-c4474d829718.png,R7_FINAL61,,PUSH_1PCT,HARD_CUT
B113,S12,938.28,942.18,942.72,4.44,GENERATED_R7,B113.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_192430_020af461-0759-4900-b988-d982a9c35903.png,R7_FINAL61,,PUSH_1PCT,HARD_CUT
B114,S12,942.72,951.34,952.08,9.36,GENERATED_R7,B114.png,https://d8j0ntlcm91z4.cloudfront.net/user_3J3zfwu7kpgllQvPySWoLtXHwdR/hf_20260923_192431_72dfec76-f860-4c5d-b589-b2177361b2d8.png,R7_FINAL61,,STATIC,HARD_CUT
B115,S12,952.08,956.92,957.414,5.334,FINAL_GFX,GFX-12_final_cost_stack_infographic.png,GFX_ARCHIVE,G14-012,G14-012,STATIC,HARD_CUT
