beat_id,section,start,end,duration,spoken_text,production_route,generation_slot,reference_assets,evidence_lock,legal_precision,subtitle_safe,style_note
B088,S11,750.260,760.640,10.380,One billion dollars was the actual termination payment. Adobe paid it. Figma received it. Adobe later recorded the one-billion-dollar fee in operating expenses.,GENERATED_SOURCE_STYLED,G064,RV063,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B089,S11,761.480,771.080,9.600,Figma recorded the payment in other income. Those are separate categories. The accounting records make the distinction concrete. Adobe treated the fee as an expense.,GENERATED_SOURCE_STYLED,G065,RV063,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B090,S11,771.980,780.040,8.060,Figma treated the receipt as income. Neither filing turns the abandoned twenty-billion-dollar purchase price into money that changed hands.,GENERATED_SOURCE_STYLED,G066,RV063,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B091,S11,780.800,790.560,9.760,Adobe did not spend twenty-one billion dollars on Figma. One number described a purchase that never happened. The other described the contractual payment that survived the failed deal.,EDITOR_GFX,,,NO_$21B_TOTAL,H,BOTTOM_15_PERCENT_CLEAR,Deterministic channel GFX; exact dates/numbers/status labels; no generative typography.
B092,S11,791.260,794.660,3.400,That is the billion-dollar cost at the center of this story.,GENERATED_SOURCE_STYLED,G067,RV064,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B093,S12,795.320,806.320,11.000,"The failed acquisition did not end Figma's story. Figma remained independent. And because Figma later became a public company, the post-deal record became unusually transparent.",GENERATED_SOURCE_STYLED,G068,RV018;RV019,REFERENCE_ONLY,M,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B094,S12,807.320,816.060,8.740,Its own securities filings preserved the abandoned Adobe transaction and the one-billion-dollar termination payment as part of the company's financial history.,GENERATED_SOURCE_STYLED,G069,RV020,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B095,S12,816.720,825.800,9.080,"In July twenty twenty-five, the company filed to go public. And on August first, twenty twenty-five, Figma completed its initial public offering.",GENERATED_SOURCE_STYLED,G070,RV023,REFERENCE_ONLY,M,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B096,S12,825.800,831.820,6.020,The company sold twelve-point-five million of its own shares at thirty-three dollars per share.,GENERATED_SOURCE_STYLED,G071,RV072;RV018,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B097,S12,832.560,839.860,7.300,Its later filing reported approximately three-hundred-ninety-three-point-one million dollars of net proceeds before offering costs.,GENERATED_SOURCE_STYLED,G072,RV019,REFERENCE_ONLY,M,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B098,S12,840.620,845.000,4.380,That later success should not be turned into a causal claim the record does not support.,GENERATED_SOURCE_STYLED,G073,RV021,REFERENCE_ONLY,M,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B099,S12,845.680,855.320,9.640,"The public record does not establish that Adobe's one-billion-dollar termination payment caused Figma's IPO, its offering price, or its later market value.",GENERATED_SOURCE_STYLED,G074,RV071;RV072,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B100,S12,856.100,862.760,6.660,What the record does establish is simpler. Adobe did not acquire Figma. Figma remained independent.,GENERATED_SOURCE_STYLED,G075,RV018,REFERENCE_ONLY,M,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B101,S12,863.300,867.660,4.360,"And less than two years after receiving the termination fee, it became a public company.",GENERATED_SOURCE_STYLED,G076,RV020,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B102,S13,868.540,877.080,8.540,"At the beginning, Adobe and Figma negotiated the upside. A roughly twenty-billion-dollar acquisition. But they also negotiated the downside.",GENERATED_SOURCE_STYLED,G077,RV018;RV049,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B103,S13,878.080,887.580,9.500,What would happen if the required regulatory clearance could not be obtained under the terms of the deal? That risk became a one-billion-dollar reverse termination fee.,GENERATED_SOURCE_STYLED,G078,RV057,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B104,S13,888.180,895.900,7.720,Then the regulatory pressure became real. The UK CMA published provisional competition concerns and possible remedies.,GENERATED_SOURCE_STYLED,G079,RV062,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B105,S13,896.860,904.940,8.080,The European Commission sent preliminary objections. The Justice Department investigated. Adobe and Figma disputed the regulators' analysis.,GENERATED_SOURCE_STYLED,G080,RV049;RV057,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B106,S13,904.940,912.140,7.200,"But by December twenty twenty-three, the companies said they no longer saw a clear path to the approvals they needed.",GENERATED_SOURCE_STYLED,G081,RV059,REFERENCE_ONLY,L,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B107,S13,912.980,922.480,9.500,So they terminated the acquisition by mutual agreement. And then the contract did exactly what it had been written to do. Adobe paid Figma one billion,GENERATED_SOURCE_STYLED,G082,RV018,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B108,S13,923.380,929.500,6.120,dollars. Not because a judge awarded it. Not because a regulator fined Adobe. And not because Adobe bought Figma.,GENERATED_SOURCE_STYLED,G083,RV057;RV059,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B109,S13,929.500,938.180,8.680,The clearest billion-dollar consequence of the failed acquisition was a clause the two companies had negotiated before the regulatory fight really began.,GENERATED_SOURCE_STYLED,G084,RV062,REFERENCE_ONLY,H,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
B110,S13,939.140,940.140,1.000,That is what it cost.,GENERATED_SOURCE_STYLED,G085,RV049,REFERENCE_ONLY,L,BOTTOM_15_PERCENT_CLEAR,Unified WHAT IT COST source-styled frame; references ground identity/location/product only; never fabricate evidence text.
