generation_slot,beat_id,asset_id,asset_class,usable,url,source,binding_mode,prep_rule
G045,B066,RV001,REAL-PHOTO,YES_CLEAR,https://commons.wikimedia.org/wiki/File:Shantanu_Narayen_-_the_CEO_of_Adobe_Inc.jpg,Wikimedia Commons / Brian Cummings Photography,ATTACH_SOURCE_PHOTO_UNCHANGED_NO_LIKENESS_SYNTHESIS,Acquire source-resolution photo; real faces remain unchanged photographic insets.
G045,B066,RV012,REAL-PHOTO,YES_EDITORIAL,https://fig-events.figma.com/make-and-meet-dc/,Figma Events,ATTACH_SOURCE_PHOTO_UNCHANGED_NO_LIKENESS_SYNTHESIS,Acquire source-resolution photo; real faces remain unchanged photographic insets.
G046,B067,RV056,DOCUMENT,YES_CLEAR,https://www.gov.uk/government/news/adobe-figma-deal-could-harm-uk-digital-design-sector,UK CMA provisional findings summary,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G046,B067,RV059,DOCUMENT,YES_CLEAR,https://competition-policy.ec.europa.eu/document/download/4e7dcad9-4787-4cef-885b-dcc5f8f1244c_en?filename=kd0124001enn_mergers_brief_2024_2.pdf,European Commission DG Competition,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G047,B068,RV058,DOCUMENT,YES_CLEAR,https://assets.publishing.service.gov.uk/media/658008d395bf65001071912f/Adobe-Figma__Response_to_Remedies_Notice.pdf,Adobe/Figma response via CMA,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G047,B068,RV057,DOCUMENT,YES_CLEAR,https://assets.publishing.service.gov.uk/media/6565c0e362180b0012ce82c8/Notice_of_Possible_Remedies_pdfa.pdf,UK CMA Notice of Possible Remedies,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G048,B070,RV061,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000079634323000254/adbe-20231217.htm,SEC / Adobe Form 8-K,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G048,B070,RV062,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000079634323000254/mutualterminationagreement.htm,SEC / Mutual Termination Agreement,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G049,B071,RV056,DOCUMENT,YES_CLEAR,https://www.gov.uk/government/news/adobe-figma-deal-could-harm-uk-digital-design-sector,UK CMA provisional findings summary,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G049,B071,RV059,DOCUMENT,YES_CLEAR,https://competition-policy.ec.europa.eu/document/download/4e7dcad9-4787-4cef-885b-dcc5f8f1244c_en?filename=kd0124001enn_mergers_brief_2024_2.pdf,European Commission DG Competition,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G050,B072,RV061,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000079634323000254/adbe-20231217.htm,SEC / Adobe Form 8-K,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G050,B072,RV062,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000079634323000254/mutualterminationagreement.htm,SEC / Mutual Termination Agreement,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G051,B073,RV054,DOCUMENT,YES_CLEAR,https://www.gov.uk/cma-cases/adobe-slash-figma-merger-inquiry,UK CMA case page,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G051,B073,RV059,DOCUMENT,YES_CLEAR,https://competition-policy.ec.europa.eu/document/download/4e7dcad9-4787-4cef-885b-dcc5f8f1244c_en?filename=kd0124001enn_mergers_brief_2024_2.pdf,European Commission DG Competition,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G052,B074,RV060,DOCUMENT,YES_CLEAR,https://www.justice.gov/archives/opa/pr/antitrust-aag-kanter-statement-after-adobe-and-figma-abandon-merger,U.S. DOJ Antitrust Division,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G052,B074,RV070,CONTEXT,YES_CLEAR,"https://commons.wikimedia.org/wiki/File:U.S._Department_of_Justice_headquarters,_August_12,_2006.jpg",Wikimedia Commons / Coolcaesar,ATTACH_CONTEXT_UNCHANGED,Acquire exact cited context asset; preserve identity.
G053,B075,RV060,DOCUMENT,YES_CLEAR,https://www.justice.gov/archives/opa/pr/antitrust-aag-kanter-statement-after-adobe-and-figma-abandon-merger,U.S. DOJ Antitrust Division,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G053,B075,RV070,CONTEXT,YES_CLEAR,"https://commons.wikimedia.org/wiki/File:U.S._Department_of_Justice_headquarters,_August_12,_2006.jpg",Wikimedia Commons / Coolcaesar,ATTACH_CONTEXT_UNCHANGED,Acquire exact cited context asset; preserve identity.
G054,B076,RV061,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000079634323000254/adbe-20231217.htm,SEC / Adobe Form 8-K,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G054,B076,RV062,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000079634323000254/mutualterminationagreement.htm,SEC / Mutual Termination Agreement,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G055,B077,RV061,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000079634323000254/adbe-20231217.htm,SEC / Adobe Form 8-K,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G055,B077,RV062,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000079634323000254/mutualterminationagreement.htm,SEC / Mutual Termination Agreement,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G056,B078,RV062,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000079634323000254/mutualterminationagreement.htm,SEC / Mutual Termination Agreement,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G057,B079,RV061,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000079634323000254/adbe-20231217.htm,SEC / Adobe Form 8-K,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G057,B079,RV062,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000079634323000254/mutualterminationagreement.htm,SEC / Mutual Termination Agreement,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G058,B080,RV063,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000079634324000006/adbe-20231201.htm,SEC / Adobe FY2023 Form 10-K,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G059,B081,RV063,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000079634324000006/adbe-20231201.htm,SEC / Adobe FY2023 Form 10-K,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G059,B081,RV064,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/1579878/000162828025033742/figma-sx1.htm,SEC / Figma Form S-1,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G060,B082,RV063,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000079634324000006/adbe-20231201.htm,SEC / Adobe FY2023 Form 10-K,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G060,B082,RV064,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/1579878/000162828025033742/figma-sx1.htm,SEC / Figma Form S-1,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G061,B084,RV062,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000079634323000254/mutualterminationagreement.htm,SEC / Mutual Termination Agreement,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G061,B084,RV063,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000079634324000006/adbe-20231201.htm,SEC / Adobe FY2023 Form 10-K,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G062,B085,RV062,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000079634323000254/mutualterminationagreement.htm,SEC / Mutual Termination Agreement,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G063,B087,RV047,DOCUMENT,YES_EDITORIAL,https://news.adobe.com/assets/downloads/pdfs/2022/09/09152022adobetoacquirefigma.pdf,Adobe acquisition press release PDF,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G063,B087,RV063,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000079634324000006/adbe-20231201.htm,SEC / Adobe FY2023 Form 10-K,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G064,B088,RV063,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000079634324000006/adbe-20231201.htm,SEC / Adobe FY2023 Form 10-K,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G064,B088,RV064,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/1579878/000162828025033742/figma-sx1.htm,SEC / Figma Form S-1,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G065,B089,RV063,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000079634324000006/adbe-20231201.htm,SEC / Adobe FY2023 Form 10-K,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G065,B089,RV064,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/1579878/000162828025033742/figma-sx1.htm,SEC / Figma Form S-1,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G066,B090,RV063,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000079634324000006/adbe-20231201.htm,SEC / Adobe FY2023 Form 10-K,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G066,B090,RV064,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/1579878/000162828025033742/figma-sx1.htm,SEC / Figma Form S-1,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G067,B092,RV063,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000079634324000006/adbe-20231201.htm,SEC / Adobe FY2023 Form 10-K,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G067,B092,RV064,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/1579878/000162828025033742/figma-sx1.htm,SEC / Figma Form S-1,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G068,B093,RV018,REAL-PHOTO,YES_EDITORIAL,https://www.figma.com/blog/figma-ipo-founder-letter/,Figma Blog,ATTACH_SOURCE_PHOTO_UNCHANGED_NO_LIKENESS_SYNTHESIS,Acquire source-resolution photo; real faces remain unchanged photographic insets.
G068,B093,RV019,REAL-PHOTO,YES_EDITORIAL,https://www.figma.com/blog/the-anatomy-of-an-activation-figma-commons/,Figma Blog,ATTACH_SOURCE_PHOTO_UNCHANGED_NO_LIKENESS_SYNTHESIS,Acquire source-resolution photo; real faces remain unchanged photographic insets.
G069,B094,RV064,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/1579878/000162828025033742/figma-sx1.htm,SEC / Figma Form S-1,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G069,B094,RV072,CONTEXT,YES_EDITORIAL,https://www.figma.com/blog/s1-public/,Figma Blog,ATTACH_CONTEXT_UNCHANGED,Acquire exact cited context asset; preserve identity.
G070,B095,RV019,REAL-PHOTO,YES_EDITORIAL,https://www.figma.com/blog/the-anatomy-of-an-activation-figma-commons/,Figma Blog,ATTACH_SOURCE_PHOTO_UNCHANGED_NO_LIKENESS_SYNTHESIS,Acquire source-resolution photo; real faces remain unchanged photographic insets.
G070,B095,RV023,REAL-PHOTO,YES_EDITORIAL,https://www.figma.com/blog/the-anatomy-of-an-activation-figma-commons/,Figma Blog,ATTACH_SOURCE_PHOTO_UNCHANGED_NO_LIKENESS_SYNTHESIS,Acquire source-resolution photo; real faces remain unchanged photographic insets.
G070,B095,RV072,CONTEXT,YES_EDITORIAL,https://www.figma.com/blog/s1-public/,Figma Blog,ATTACH_CONTEXT_UNCHANGED,Acquire exact cited context asset; preserve identity.
G071,B096,RV071,CONTEXT,YES_EDITORIAL,https://www.figma.com/blog/ipo-pricing/,Figma Blog,ATTACH_CONTEXT_UNCHANGED,Acquire exact cited context asset; preserve identity.
G071,B096,RV072,CONTEXT,YES_EDITORIAL,https://www.figma.com/blog/s1-public/,Figma Blog,ATTACH_CONTEXT_UNCHANGED,Acquire exact cited context asset; preserve identity.
G071,B096,RV018,REAL-PHOTO,YES_EDITORIAL,https://www.figma.com/blog/figma-ipo-founder-letter/,Figma Blog,ATTACH_SOURCE_PHOTO_UNCHANGED_NO_LIKENESS_SYNTHESIS,Acquire source-resolution photo; real faces remain unchanged photographic insets.
G072,B097,RV064,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/1579878/000162828025033742/figma-sx1.htm,SEC / Figma Form S-1,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G072,B097,RV019,REAL-PHOTO,YES_EDITORIAL,https://www.figma.com/blog/the-anatomy-of-an-activation-figma-commons/,Figma Blog,ATTACH_SOURCE_PHOTO_UNCHANGED_NO_LIKENESS_SYNTHESIS,Acquire source-resolution photo; real faces remain unchanged photographic insets.
G073,B098,RV018,REAL-PHOTO,YES_EDITORIAL,https://www.figma.com/blog/figma-ipo-founder-letter/,Figma Blog,ATTACH_SOURCE_PHOTO_UNCHANGED_NO_LIKENESS_SYNTHESIS,Acquire source-resolution photo; real faces remain unchanged photographic insets.
G073,B098,RV021,REAL-PHOTO,YES_EDITORIAL,https://www.figma.com/blog/the-anatomy-of-an-activation-figma-commons/,Figma Blog,ATTACH_SOURCE_PHOTO_UNCHANGED_NO_LIKENESS_SYNTHESIS,Acquire source-resolution photo; real faces remain unchanged photographic insets.
G074,B099,RV071,CONTEXT,YES_EDITORIAL,https://www.figma.com/blog/ipo-pricing/,Figma Blog,ATTACH_CONTEXT_UNCHANGED,Acquire exact cited context asset; preserve identity.
G074,B099,RV072,CONTEXT,YES_EDITORIAL,https://www.figma.com/blog/s1-public/,Figma Blog,ATTACH_CONTEXT_UNCHANGED,Acquire exact cited context asset; preserve identity.
G074,B099,RV064,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/1579878/000162828025033742/figma-sx1.htm,SEC / Figma Form S-1,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G075,B100,RV018,REAL-PHOTO,YES_EDITORIAL,https://www.figma.com/blog/figma-ipo-founder-letter/,Figma Blog,ATTACH_SOURCE_PHOTO_UNCHANGED_NO_LIKENESS_SYNTHESIS,Acquire source-resolution photo; real faces remain unchanged photographic insets.
G075,B100,RV019,REAL-PHOTO,YES_EDITORIAL,https://www.figma.com/blog/the-anatomy-of-an-activation-figma-commons/,Figma Blog,ATTACH_SOURCE_PHOTO_UNCHANGED_NO_LIKENESS_SYNTHESIS,Acquire source-resolution photo; real faces remain unchanged photographic insets.
G076,B101,RV019,REAL-PHOTO,YES_EDITORIAL,https://www.figma.com/blog/the-anatomy-of-an-activation-figma-commons/,Figma Blog,ATTACH_SOURCE_PHOTO_UNCHANGED_NO_LIKENESS_SYNTHESIS,Acquire source-resolution photo; real faces remain unchanged photographic insets.
G076,B101,RV023,REAL-PHOTO,YES_EDITORIAL,https://www.figma.com/blog/the-anatomy-of-an-activation-figma-commons/,Figma Blog,ATTACH_SOURCE_PHOTO_UNCHANGED_NO_LIKENESS_SYNTHESIS,Acquire source-resolution photo; real faces remain unchanged photographic insets.
G077,B102,RV047,DOCUMENT,YES_EDITORIAL,https://news.adobe.com/assets/downloads/pdfs/2022/09/09152022adobetoacquirefigma.pdf,Adobe acquisition press release PDF,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G077,B102,RV049,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036122033413/ny20005310x2_ex2-1.htm,SEC / Agreement and Plan of Merger,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G077,B102,RV018,REAL-PHOTO,YES_EDITORIAL,https://www.figma.com/blog/figma-ipo-founder-letter/,Figma Blog,ATTACH_SOURCE_PHOTO_UNCHANGED_NO_LIKENESS_SYNTHESIS,Acquire source-resolution photo; real faces remain unchanged photographic insets.
G078,B103,RV049,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036122033413/ny20005310x2_ex2-1.htm,SEC / Agreement and Plan of Merger,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G079,B104,RV056,DOCUMENT,YES_CLEAR,https://www.gov.uk/government/news/adobe-figma-deal-could-harm-uk-digital-design-sector,UK CMA provisional findings summary,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G079,B104,RV057,DOCUMENT,YES_CLEAR,https://assets.publishing.service.gov.uk/media/6565c0e362180b0012ce82c8/Notice_of_Possible_Remedies_pdfa.pdf,UK CMA Notice of Possible Remedies,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G080,B105,RV059,DOCUMENT,YES_CLEAR,https://competition-policy.ec.europa.eu/document/download/4e7dcad9-4787-4cef-885b-dcc5f8f1244c_en?filename=kd0124001enn_mergers_brief_2024_2.pdf,European Commission DG Competition,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G080,B105,RV060,DOCUMENT,YES_CLEAR,https://www.justice.gov/archives/opa/pr/antitrust-aag-kanter-statement-after-adobe-and-figma-abandon-merger,U.S. DOJ Antitrust Division,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G080,B105,RV058,DOCUMENT,YES_CLEAR,https://assets.publishing.service.gov.uk/media/658008d395bf65001071912f/Adobe-Figma__Response_to_Remedies_Notice.pdf,Adobe/Figma response via CMA,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G081,B106,RV061,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000079634323000254/adbe-20231217.htm,SEC / Adobe Form 8-K,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G081,B106,RV062,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000079634323000254/mutualterminationagreement.htm,SEC / Mutual Termination Agreement,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G082,B107,RV061,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000079634323000254/adbe-20231217.htm,SEC / Adobe Form 8-K,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G082,B107,RV063,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000079634324000006/adbe-20231201.htm,SEC / Adobe FY2023 Form 10-K,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G083,B108,RV049,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036122033413/ny20005310x2_ex2-1.htm,SEC / Agreement and Plan of Merger,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G083,B108,RV061,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000079634323000254/adbe-20231217.htm,SEC / Adobe Form 8-K,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G084,B109,RV049,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036122033413/ny20005310x2_ex2-1.htm,SEC / Agreement and Plan of Merger,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G084,B109,RV050,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036123001357/ny20005310x21_424b3.htm,SEC / 424B3 prospectus,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G085,B110,RV049,DOCUMENT,YES_AUTHENTIC,https://www.sec.gov/Archives/edgar/data/796343/000114036122033413/ny20005310x2_ex2-1.htm,SEC / Agreement and Plan of Merger,FACT_REFERENCE_ONLY_OR_PREP_EXACT_CROP_NO_RAW_PDF_HTML,Never attach raw PDF/HTML. Use a tight authentic crop only when visibly needed; otherwise factual-reference-only.
G085,B110,RV065,CONTEXT,YES_CLEAR,https://commons.wikimedia.org/wiki/File:Adobe_Corporate_logo.svg,Wikimedia Commons / Adobe,ATTACH_CONTEXT_UNCHANGED,Acquire exact cited context asset; preserve identity.
